iter	Passed	Remaining
0	2221	11104934
1	4202	10501695
2	6340	10560503
3	8425	10523245
4	10487	10476856
5	12406	10326069
6	14395	10268302
7	16371	10216041
8	18339	10170489
9	20338	10148830
10	22163	10052114
11	24176	10049341
12	26058	9996417
13	28008	9975162
14	29901	9937178
15	31786	9901363
16	33517	9824527
17	35425	9805012
18	37353	9792486
19	39386	9807188
20	41363	9807196
21	43405	9821465
22	45335	9810208
23	47445	9836991
24	49415	9833680
25	51451	9843071
26	53316	9820036
27	55626	9877740
28	57486	9853939
29	59061	9784480
30	60972	9773341
31	62826	9753847
32	64977	9780168
33	66646	9734303
34	68306	9689813
35	70053	9659607
36	71830	9635025
37	73715	9625665
38	75443	9596857
39	77400	9597637
40	79136	9571632
41	81022	9564470
42	82941	9561429
43	84697	9539991
44	86721	9548969
45	88801	9563495
46	90902	9579551
47	93027	9597350
48	95156	9614683
49	97320	9634775
50	99137	9620267
51	101335	9642484
52	103394	9650776
53	105159	9631844
54	106758	9598526
55	108473	9576704
56	110181	9554893
57	112110	9552574
58	114181	9562231
59	116133	9561635
60	118227	9572554
61	120341	9584649
62	122222	9577963
63	124139	9574229
64	126334	9591717
65	128496	9606064
66	130572	9613649
67	132690	9623999
68	134593	9618540
69	136281	9598088
70	138049	9583735
71	139912	9576225
72	141848	9573821
73	143894	9578701
74	145888	9580040
75	147920	9583702
76	150029	9592157
77	151966	9589458
78	153955	9590056
79	156069	9598265
80	158097	9601022
81	160253	9611278
82	162010	9597679
83	163770	9584450
84	165882	9591929
85	167606	9576939
86	169611	9578185
87	171588	9577768
88	173792	9589804
89	175559	9577726
90	177414	9570642
91	179061	9552559
92	181045	9552604
93	183260	9564625
94	185091	9556557
95	187116	9558543
96	188990	9552791
97	191168	9562330
98	193208	9564773
99	195144	9562060
100	197206	9565507
101	198807	9546674
102	200460	9530640
103	202337	9525441
104	204191	9519223
105	206283	9524093
106	208311	9525849
107	210499	9534847
108	212726	9545357
109	214832	9550295
110	216789	9548501
111	218847	9551148
112	221150	9564251
113	223105	9562218
114	224960	9555913
115	227445	9576252
116	229368	9572685
117	231478	9576946
118	233255	9567379
119	235150	9562785
120	237173	9563369
121	239095	9559919
122	241215	9564283
123	243166	9561948
124	244938	9552597
125	246951	9552721
126	249058	9556375
127	250883	9549236
128	252865	9548125
129	254915	9549520
130	256804	9544886
131	258833	9545483
132	260707	9540335
133	262685	9539010
134	264698	9538954
135	266764	9540771
136	268584	9533769
137	270802	9540877
138	272890	9543329
139	274903	9543065
140	277188	9552190
141	278988	9544551
142	280826	9538294
143	282639	9531234
144	284583	9528633
145	286830	9536145
146	288618	9528328
147	290990	9539772
148	292809	9532998
149	294782	9531315
150	296618	9525171
151	298591	9523504
152	300652	9524606
153	302597	9522009
154	304591	9520934
155	306449	9515636
156	308587	9519049
157	310337	9510473
158	312268	9507500
159	314353	9509188
160	316443	9510993
161	318438	9509923
162	320250	9503389
163	322195	9500824
164	323957	9492933
165	325961	9492156
166	327901	9489519
167	329905	9488719
168	331836	9485799
169	333699	9480991
170	335689	9479780
171	337567	9475445
172	339573	9474701
173	341351	9467602
174	343409	9468296
175	345298	9464315
176	347216	9461166
177	349057	9455926
178	350883	9450331
179	353025	9453250
180	354900	9448990
181	356692	9442563
182	358796	9444397
183	360881	9445680
184	362810	9442887
185	364750	9440370
186	366656	9437005
187	368529	9432797
188	370400	9428563
189	372444	9428739
190	374331	9424911
191	376229	9421409
192	378245	9420869
193	380284	9420850
194	382369	9421983
195	384282	9418832
196	386221	9416352
197	388128	9413097
198	389866	9405772
199	391622	9398929
200	393602	9397501
201	395551	9395339
202	397671	9397199
203	399676	9396309
204	401526	9391807
205	403248	9384335
206	405289	9384302
207	407125	9379538
208	409142	9378947
209	411235	9380076
210	413187	9377979
211	415049	9373845
212	417027	9372341
213	418878	9368008
214	420759	9364343
215	422514	9357911
216	424351	9353322
217	426560	9356927
218	428212	9348338
219	430145	9345888
220	432163	9345293
221	433924	9339159
222	435957	9338872
223	438135	9341671
224	439991	9337589
225	441736	9331195
226	443704	9329523
227	445891	9332434
228	447851	9330555
229	449566	9323618
230	451626	9323829
231	453593	9322119
232	455473	9318626
233	457401	9316137
234	459336	9313778
235	461626	9318595
236	463527	9315526
237	465429	9312509
238	467117	9305220
239	469029	9302410
240	470992	9300632
241	472882	9297419
242	475139	9301399
243	477024	9298074
244	478907	9294724
245	480788	9291340
246	482584	9286331
247	484622	9285992
248	486499	9282573
249	488496	9281430
250	490622	9282731
251	492377	9277014
252	494065	9270082
253	496206	9271634
254	498212	9270663
255	500408	9273188
256	502319	9270432
257	504276	9268521
258	506140	9264914
259	507964	9260578
260	510459	9268451
261	512572	9269349
262	514667	9269876
263	516462	9265022
264	518473	9264036
265	520497	9263291
266	522233	9257412
267	524229	9256176
268	526596	9261443
269	528507	9258675
270	530706	9260923
271	532519	9256444
272	534491	9254723
273	536638	9256039
274	538666	9255277
275	540587	9252663
276	542537	9250562
277	544302	9245304
278	545920	9237606
279	547814	9234587
280	550073	9237711
281	551936	9234169
282	553893	9232218
283	555995	9232651
284	557865	9229245
285	559694	9225167
286	561503	9220785
287	563297	9216179
288	565200	9213356
289	567076	9210111
290	568726	9203212
291	570686	9201334
292	572783	9201679
293	575189	9206944
294	577040	9203306
295	578966	9200873
296	580852	9197807
297	582794	9195641
298	584561	9190712
299	586380	9186620
300	588358	9185042
301	590258	9182234
302	592246	9180796
303	594165	9178290
304	596077	9175688
305	598203	9176360
306	600100	9173521
307	602211	9173954
308	604193	9172405
309	606217	9171490
310	607995	9166847
311	610184	9168419
312	612189	9167189
313	614151	9165336
314	615876	9159942
315	617857	9158365
316	619639	9153848
317	621633	9152475
318	623499	9149224
319	625278	9144692
320	627256	9143092
321	629139	9140107
322	631322	9141475
323	633278	9139531
324	635207	9137214
325	637256	9136614
326	639004	9131713
327	640874	9128546
328	642189	9117531
329	643831	9111196
330	645832	9109942
331	647716	9107048
332	649759	9106395
333	651741	9104863
334	653580	9101359
335	655495	9098905
336	657274	9094570
337	659256	9093054
338	660956	9087665
339	662921	9085925
340	664770	9082596
341	666686	9080187
342	668677	9078810
343	670557	9075912
344	672556	9074636
345	674575	9073625
346	676771	9074985
347	678831	9074492
348	680765	9072320
349	682630	9069229
350	684650	9068200
351	686708	9067675
352	688802	9067606
353	690945	9068169
354	692880	9066004
355	695141	9068086
356	697114	9066391
357	698995	9063516
358	700926	9061279
359	702554	9055152
360	704321	9050819
361	706323	9049530
362	708263	9047435
363	710324	9046879
364	712139	9043193
365	714179	9042371
366	715891	9037401
367	717630	9032777
368	719602	9031112
369	721669	9030620
370	723572	9028083
371	725158	9021597
372	727119	9019790
373	729064	9017792
374	731019	9015902
375	732993	9014257
376	735134	9014655
377	737192	9014033
378	739020	9010593
379	741300	9012650
380	743471	9013367
381	745370	9010786
382	747428	9010122
383	749424	9008706
384	751357	9006532
385	753238	9003737
386	755147	9001280
387	757167	9000140
388	759390	9001416
389	761185	8997597
390	762883	8992662
391	764752	8989745
392	766746	8988301
393	768733	8986768
394	770543	8983173
395	772645	8982976
396	774613	8981220
397	776680	8980609
398	778680	8979215
399	780396	8974561
400	781941	8967946
401	783870	8965758
402	785799	8963572
403	787803	8962242
404	789548	8957958
405	791617	8957371
406	793717	8957111
407	795487	8953133
408	797391	8950666
409	799203	8947186
410	801062	8944221
411	802726	8939099
412	804559	8935871
413	806538	8934268
414	808376	8931101
415	810485	8930927
416	812370	8928279
417	814370	8926900
418	816412	8925974
419	818508	8925639
420	820580	8925032
421	822509	8922859
422	824357	8919817
423	826290	8917705
424	828066	8913887
425	830009	8911889
426	832098	8911440
427	834070	8909748
428	835941	8906963
429	837845	8904546
430	839716	8901778
431	841723	8900451
432	843738	8899195
433	845716	8897559
434	847685	8895826
435	849457	8892031
436	851331	8889303
437	853344	8888034
438	855156	8884671
439	856662	8878137
440	858538	8875458
441	860362	8872247
442	862288	8870086
443	864276	8868564
444	866217	8866558
445	868212	8865107
446	870227	8863865
447	872336	8863561
448	874292	8861706
449	876192	8859282
450	878174	8857682
451	880044	8854962
452	881999	8853098
453	884213	8853819
454	886109	8851356
455	888055	8849393
456	889908	8846511
457	891791	8843926
458	894105	8845602
459	896106	8844178
460	897842	8840148
461	899743	8837740
462	901650	8835394
463	903437	8831884
464	905377	8829862
465	907421	8828861
466	909677	8829912
467	911403	8825813
468	913358	8823935
469	915180	8820779
470	917123	8818799
471	918965	8815841
472	920869	8813475
473	922771	8811105
474	924680	8808794
475	926531	8805944
476	928306	8802365
477	930334	8801198
478	932403	8800411
479	934242	8797446
480	936217	8795774
481	938174	8793922
482	940178	8792520
483	942127	8790596
484	943935	8787354
485	945768	8784362
486	947958	8784672
487	949779	8781572
488	951870	8780960
489	953779	8778665
490	955704	8776524
491	957728	8775284
492	959807	8774545
493	961949	8774380
494	963697	8770619
495	965772	8769839
496	967699	8767703
497	969488	8764328
498	971308	8761240
499	973337	8760033
500	975146	8756850
501	977202	8755886
502	979231	8754679
503	981099	8752028
504	983000	8749674
505	985018	8748368
506	986875	8745621
507	988598	8741702
508	990491	8739286
509	992233	8735543
510	994181	8733617
511	996011	8730664
512	997864	8727913
513	999874	8726534
514	1001622	8722871
515	1003434	8719769
516	1005162	8715943
517	1006883	8712065
518	1008811	8709993
519	1010610	8706795
520	1012625	8705472
521	1014618	8703945
522	1016629	8702579
523	1018758	8702215
524	1020842	8701465
525	1022557	8697570
526	1024616	8696601
527	1026257	8692089
528	1028121	8689475
529	1029850	8685719
530	1031813	8683947
531	1033909	8683284
532	1036043	8682936
533	1037885	8680144
534	1039700	8677125
535	1041709	8675731
536	1043642	8673695
537	1045435	8670504
538	1047547	8669960
539	1049312	8666546
540	1051367	8665524
541	1053560	8665632
542	1055484	8663526
543	1057464	8661882
544	1059293	8658991
545	1061089	8655845
546	1063155	8654903
547	1064836	8650825
548	1066692	8648175
549	1068691	8646688
550	1071079	8648339
551	1073110	8647089
552	1074836	8643396
553	1077073	8643807
554	1079011	8641811
555	1081152	8641439
556	1082933	8638192
557	1084751	8635245
558	1086653	8632966
559	1088410	8629537
560	1090456	8628405
561	1092425	8626658
562	1094446	8625330
563	1096113	8621202
564	1097894	8617989
565	1100002	8617332
566	1101845	8614602
567	1103848	8613123
568	1105684	8610350
569	1107733	8609226
570	1109626	8606895
571	1111631	8605423
572	1113487	8602804
573	1115434	8600895
574	1117284	8598236
575	1119109	8595380
576	1120967	8592787
577	1122941	8591084
578	1124651	8587365
579	1126538	8584999
580	1128336	8581962
581	1130255	8579843
582	1132447	8579798
583	1134331	8577410
584	1136225	8575100
585	1138182	8573274
586	1140246	8572247
587	1142211	8570474
588	1144085	8568012
589	1146109	8566681
590	1148194	8565802
591	1150088	8563495
592	1152069	8561842
593	1153894	8559018
594	1155758	8556499
595	1157736	8554820
596	1159560	8551997
597	1161625	8550965
598	1163355	8547456
599	1165148	8544425
600	1166993	8541771
601	1169013	8540401
602	1170902	8538074
603	1172745	8535414
604	1174585	8532735
605	1176686	8531946
606	1178860	8531690
607	1180830	8529943
608	1182967	8529410
609	1184906	8527444
610	1187022	8526746
611	1188798	8523604
612	1191048	8523862
613	1192964	8521731
614	1194734	8518551
615	1196378	8514484
616	1198240	8511976
617	1200297	8510846
618	1202341	8509625
619	1204346	8508123
620	1206378	8506812
621	1208137	8503581
622	1210043	8501378
623	1211937	8499101
624	1213775	8496426
625	1216009	8496526
626	1218165	8496071
627	1220039	8493649
628	1221747	8490073
629	1223643	8487809
630	1225681	8486533
631	1227448	8483380
632	1229689	8483495
633	1231716	8482133
634	1233833	8481387
635	1235873	8480111
636	1238003	8479450
637	1240105	8478592
638	1242120	8477134
639	1244082	8475311
640	1245979	8473046
641	1248044	8471926
642	1250095	8470707
643	1251907	8467870
644	1253899	8466249
645	1255979	8465226
646	1258001	8463801
647	1259735	8460447
648	1261722	8458786
649	1263564	8456160
650	1265252	8452508
651	1267296	8451233
652	1269109	8448421
