,importance
TransactionAmt,134963.34486204386
ProductCD,30608.76226592064
card1,101806.86956244707
card2,94185.31711906195
card3,26996.293383836746
card5,42301.71227693558
card6,47479.82454121113
addr1,81087.40917521715
addr2,5996.15882062912
dist1,18444.396271049976
dist2,11079.597148299217
P_emaildomain,53272.41237336397
R_emaildomain,117937.02565306425
C1,227633.1337516904
C2,52873.19328528643
C4,98071.0114992857
C5,29835.443255603313
C6,43843.43832910061
C7,61017.45129019022
C8,99452.87816113234
C9,12358.261548280716
C10,61928.34760826826
C11,84694.31081753969
C12,79019.85506653786
C13,234159.9991570115
C14,213000.23610794544
D1,52103.38354974985
D2,117757.01162666082
D3,35491.42472445965
D4,90233.78666609526
D5,14770.796207249165
D10,99601.53208118677
D11,26736.29227602482
D15,113136.0975625515
M1,90.14982080459595
M2,1139.476850271225
M3,1667.8755189180374
M4,41914.489614486694
M6,9848.599998831749
M7,2056.0072125792503
M8,1453.792504131794
M9,2204.5577442646027
V1,43.38611960411072
V3,1126.9138989448547
V4,1825.494253873825
V6,1118.2446691989899
V8,268.2907878756523
V11,863.1226387023926
V13,6550.008510887623
V14,151.78421807289124
V17,1681.6248687505722
V20,6855.4322246313095
V23,5476.514429330826
V26,1584.862557709217
V27,2.991160035133362
V30,32293.38502418995
V36,6107.050160944462
V37,6969.663342952728
V40,6764.331589579582
V41,358.76909828186035
V44,56770.275074124336
V47,5991.013778567314
V48,11943.129596710205
V54,20105.112328529358
V56,16440.831785559654
V59,5119.8836106061935
V62,34568.77018892765
V65,1272.7931160330772
V67,10501.703649044037
V68,633.3870146274567
V70,67181.28536015749
V76,7198.800129234791
V78,9693.258316636086
V80,1697.2850552797318
V82,10169.427367448807
V86,25110.90133726597
V88,225.89385879039764
V89,636.1189414262772
V91,70818.49968099594
V107,18.114060044288635
V108,632.0933276414871
V111,169.18853056430817
V115,1916.5923093557358
V117,17.04555034637451
V120,4.7418999671936035
V121,153.56338965892792
V123,3582.4871200323105
V124,2826.1399609446526
V127,14320.267813920975
V129,7409.348576545715
V130,14498.630760848522
V136,4150.468249261379
V138,1277.8084590435028
V139,9572.710752665997
V142,2386.1830995082855
V147,3730.366763949394
V156,54250.776005744934
V160,10359.294533610344
V162,4745.130284547806
V165,16180.42070364952
V166,4070.6056078076363
V169,5120.222044944763
V171,8282.109861254692
V173,3288.0293225049973
V175,1429.3308345079422
V176,1335.5809881687164
V178,33375.82077765465
V180,1763.262225985527
V182,1414.6137697696686
V185,1002.7517257928848
V187,93349.776478827
V188,76172.56237649918
V198,8553.400328040123
V203,6030.007114171982
V205,6020.796186447144
V207,8405.25942236185
V209,7412.083555519581
V210,8399.780078828335
V215,4194.10513818264
V218,20434.829389691353
V220,2762.5406334400177
V221,8771.004899680614
V223,4755.972277879715
V224,8692.620957195759
V226,1796.965576827526
V228,3051.369196653366
V229,8648.815526127815
V234,4029.401960194111
V235,1310.8583545684814
V238,1373.7031301259995
V240,13.669359922409058
V250,7011.382231354713
V252,5319.207898616791
V253,7231.233439445496
V257,483652.89217865467
V258,560445.9706503153
V260,1306.174849152565
V261,8309.446286082268
V264,52062.69116818905
V266,11099.997760534286
V267,11735.051865577698
V271,5602.283439576626
V274,109782.17556834221
V277,6424.621055006981
V281,46893.60220897198
V283,90811.34665256739
V284,4961.3130838871
V285,8403.693016529083
V286,3260.217213988304
V289,9979.89298516512
V291,4535.196753382683
V294,193272.0717858076
V296,2374.3255940675735
V297,777.1829264163971
V301,1328.5732935667038
V303,1085.7112423181534
V305,0.0
V307,52143.70260465145
V309,11631.23375993967
V310,22962.780456900597
V314,31353.315512239933
V320,6008.259406447411
id_01,16264.474638700485
id_02,40918.459949076176
id_03,10177.81755888462
id_04,1617.5517790317535
id_05,20351.312751352787
id_06,17372.077958524227
id_09,11677.262555837631
id_10,1428.142805814743
id_11,3516.5717092752457
id_12,7998.423986315727
id_13,18215.005005776882
id_15,3458.14575278759
id_16,3078.8717373013496
id_17,30471.81738770008
id_18,9436.399747252464
id_19,29659.604415476322
id_20,45111.11091732979
id_28,1056.5401624441147
id_29,955.5773245096207
id_31,36683.05021268129
id_35,573.564400434494
id_36,1215.0899732112885
id_37,3326.36013174057
id_38,4466.52549135685
DeviceType,21715.23079621792
DeviceInfo,34418.12325638533
cents,49430.694941461086
addr1_FE,82740.55996674299
card1_FE,110360.9304137826
card2_FE,95603.13856512308
card3_FE,27606.262188374996
P_emaildomain_FE,71824.12763863802
card1_addr1,116035.60446184874
card1_addr1_P_emaildomain,110355.40710484982
card1_addr1_FE,93352.89194840193
card1_addr1_P_emaildomain_FE,86964.46405655146
TransactionAmt_card1_mean,136261.07282853127
TransactionAmt_card1_std,133856.585999012
TransactionAmt_card1_addr1_mean,121484.68269598484
TransactionAmt_card1_addr1_std,97647.92269265652
TransactionAmt_card1_addr1_P_emaildomain_mean,115338.93976783752
TransactionAmt_card1_addr1_P_emaildomain_std,90470.27919584513
D9_card1_mean,102747.83153152466
D9_card1_std,84186.77047628164
D9_card1_addr1_mean,103270.83209460974
D9_card1_addr1_std,94160.6359180808
D9_card1_addr1_P_emaildomain_mean,68108.21885699034
D9_card1_addr1_P_emaildomain_std,55526.06804227829
D11_card1_mean,80580.70697647333
D11_card1_std,76206.05749088526
D11_card1_addr1_mean,97811.25039970875
D11_card1_addr1_std,81578.12473160028
D11_card1_addr1_P_emaildomain_mean,75175.70710408688
D11_card1_addr1_P_emaildomain_std,68700.96297496557
uid_FE,93898.44190955162
TransactionAmt_uid_mean,188185.9654918313
TransactionAmt_uid_std,138678.39535343647
D4_uid_mean,107993.18923199177
D4_uid_std,110334.20138931274
D9_uid_mean,40385.66089743376
D9_uid_std,22722.088890373707
D10_uid_mean,125228.04754191637
D10_uid_std,115811.1785389781
D15_uid_mean,138352.69229364395
D15_uid_std,101775.58858340979
C1_uid_mean,189866.83444321156
C2_uid_mean,106771.3242945075
C4_uid_mean,50549.217623233795
C5_uid_mean,43392.77488273382
C6_uid_mean,104435.81811863184
C7_uid_mean,13966.19479137659
C8_uid_mean,47530.04273420572
C9_uid_mean,64560.97169917822
C10_uid_mean,53375.682510674
C11_uid_mean,114878.92258954048
C12_uid_mean,58135.18501788378
C13_uid_mean,183448.77998048067
C14_uid_mean,140131.0510290861
M1_uid_mean,913.6933144330978
M2_uid_mean,39252.66425687075
M3_uid_mean,82655.52795755863
M4_uid_mean,69643.76937699318
M5_uid_mean,52516.682086110115
M6_uid_mean,45484.994867026806
M7_uid_mean,16401.58119124174
M8_uid_mean,29023.642640173435
M9_uid_mean,32589.08236783743
uid_P_emaildomain_ct,23343.25128084421
uid_dist1_ct,20420.868973314762
uid_DT_M_ct,87630.87505823374
uid_id_02_ct,20249.366732418537
uid_cents_ct,26298.627187550068
C14_uid_std,84450.06525748968
uid_C13_ct,155167.33060061932
uid_V314_ct,65008.26808053255
uid_V127_ct,121642.35760241747
uid_V136_ct,38943.54298096895
uid_V309_ct,110195.0621625781
uid_V307_ct,124781.10157579184
uid_V320_ct,51245.56297779083
outsider15,726.2260665893555
