,importance
TransactionAmt,39.4227017685771
ProductCD,45.91782093048096
card1,355.8079070812091
card2,26.54933263361454
card3,0.0
card5,2.143249988555908
card6,187.9097817381844
addr1,15.417295068502426
addr2,0.0
dist1,34.1209808702115
dist2,0.0
P_emaildomain,0.0
R_emaildomain,198.0902600288391
C1,476.07677511125803
C2,2.2157320082187653
C4,164.46512126922607
C5,0.0
C6,0.0
C7,0.0
C8,0.0
C9,0.0
C10,0.0
C11,0.8899120017886162
C12,0.0
C13,4.427565023303032
C14,3.5368399620056152
D1,24.44359990954399
D2,41.722294703125954
D3,11.25674882531166
D4,50.925652254372835
D5,2.0901598930358887
D10,429.9882256509736
D11,6.9794812723994255
D15,9.807942777872086
M1,0.0
M2,1.5758999586105347
M3,6.823642015457153
M4,0.0
M6,11.705189824104309
M7,1.1182509660720825
M8,0.0
M9,0.0
V1,0.20960600674152374
V3,1.169812023639679
V4,0.21569399535655975
V6,0.0
V8,0.0
V11,0.0
V13,0.0
V14,0.0
V17,0.0
V20,41.6548798084259
V23,0.0
V26,0.0
V27,0.0
V30,0.0
V36,10.102759957313538
V37,1.742400050163269
V40,1.8636000156402588
V41,0.0
V44,2.319240093231201
V47,0.0
V48,2.303827941417694
V54,0.0
V56,0.0
V59,0.0
V62,63.7966805100441
V65,0.0
V67,0.0
V68,0.0
V70,0.0
V76,0.0
V78,0.0
V80,0.0
V82,11.87609314918518
V86,0.0
V88,0.0
V89,0.0
V91,5.706850051879883
V107,0.0
V108,0.0
V111,0.0
V115,0.0
V117,0.0
V120,0.0
V121,0.0
V123,0.0
V124,0.0
V127,0.7726269960403442
V129,0.0
V130,0.0
V136,0.0
V138,0.0
V139,0.0
V142,0.0
V147,0.0
V156,0.0
V160,0.0
V162,0.0
V165,0.0
V166,0.0
V169,0.0
V171,0.0
V173,0.0
V175,0.0
V176,0.0
V178,0.0
V180,0.0
V182,0.0
V185,0.0
V187,0.0
V188,0.0
V198,0.0
V203,0.0
V205,0.0
V207,0.0
V209,0.0
V210,0.0
V215,0.0
V218,0.0
V220,0.0
V221,0.0
V223,0.0
V224,0.0
V226,0.0
V228,0.0
V229,0.0
V234,0.0
V235,0.0
V238,0.0
V240,0.0
V250,0.0
V252,0.0
V253,0.0
V257,0.0
V258,0.0
V260,0.0
V261,0.0
V264,0.0
V266,0.0
V267,0.0
V271,0.0
V274,0.0
V277,0.0
V281,0.0
V283,0.0
V284,0.0
V285,1.1201599836349487
V286,0.0
V289,0.0
V291,0.0
V294,0.0
V296,0.0
V297,0.0
V301,0.0
V303,0.0
V305,0.0
V307,112.67777907848358
V309,0.0
V310,22.510206900537014
V314,0.0
V320,0.0
id_01,216.93356943130493
id_02,0.0
id_03,0.0
id_04,0.0
id_05,0.0
id_06,0.0
id_09,0.0
id_10,0.0
id_11,0.0
id_12,110.04300737380981
id_13,0.0
id_15,0.0
id_16,0.0
id_17,0.0
id_18,0.0
id_19,0.0
id_20,0.0
id_28,0.0
id_29,0.0
id_31,0.0
id_35,0.0
id_36,0.0
id_37,0.0
id_38,0.0
DeviceType,0.0
DeviceInfo,0.0
cents,143.76912342011929
addr1_FE,773.099881532602
card1_FE,29.874443342909217
card2_FE,450.9029167154804
card3_FE,0.0
P_emaildomain_FE,187.99562413990498
card1_addr1,71.8587116599083
card1_addr1_P_emaildomain,137.15922921989113
card1_addr1_FE,16.995886951684952
card1_addr1_P_emaildomain_FE,44.27440230175853
TransactionAmt_card1_mean,12.192609786987305
TransactionAmt_card1_std,13.592823043465614
TransactionAmt_card1_addr1_mean,108.61491489969194
TransactionAmt_card1_addr1_std,81.77043914049864
TransactionAmt_card1_addr1_P_emaildomain_mean,23.574261913076043
TransactionAmt_card1_addr1_P_emaildomain_std,118.03688990138471
D9_card1_mean,104.79953454434872
D9_card1_std,114.11713077686727
D9_card1_addr1_mean,34.23526924941689
D9_card1_addr1_std,24.107522007077932
D9_card1_addr1_P_emaildomain_mean,19.998617561534047
D9_card1_addr1_P_emaildomain_std,519.3776469603181
D11_card1_mean,125.15385339409113
D11_card1_std,102.16348386183381
D11_card1_addr1_mean,42.418847773224115
D11_card1_addr1_std,226.51814907463267
D11_card1_addr1_P_emaildomain_mean,1.0714589953422546
D11_card1_addr1_P_emaildomain_std,45.639443941414356
uid_FE,42.64112273603678
TransactionAmt_uid_mean,8.471555028110743
TransactionAmt_uid_std,44.772475354373455
D4_uid_mean,119.51457390747964
D4_uid_std,63.6549949767068
D9_uid_mean,0.0
D9_uid_std,0.0
D10_uid_mean,37.7433240506798
D10_uid_std,95.95001490507275
D15_uid_mean,665.4020652137697
D15_uid_std,40.063935190439224
C1_uid_mean,21.49803487956524
C2_uid_mean,113.89227586891502
C4_uid_mean,5.414360046386719
C5_uid_mean,0.7726050019264221
C6_uid_mean,18.249295949935913
C7_uid_mean,0.0
C8_uid_mean,0.0
C9_uid_mean,1.9758904613554478
C10_uid_mean,18.672300338745117
C11_uid_mean,405.8832280430943
C12_uid_mean,2.449850082397461
C13_uid_mean,120.53654364775866
C14_uid_mean,339.2900480115786
M1_uid_mean,0.0
M2_uid_mean,22.624281108379364
M3_uid_mean,82.61348403990269
M4_uid_mean,1.278439998626709
M5_uid_mean,0.0
M6_uid_mean,14.41012741625309
M7_uid_mean,0.0
M8_uid_mean,0.0
M9_uid_mean,5.198522246442735
uid_P_emaildomain_ct,0.0
uid_dist1_ct,0.0
uid_DT_M_ct,37.623595736920834
uid_id_02_ct,0.0
uid_cents_ct,0.0
C14_uid_std,8.314757226034999
uid_C13_ct,156.4587068222463
uid_V314_ct,0.0
uid_V127_ct,74.8498547449708
uid_V136_ct,48.2136232573539
uid_V309_ct,0.0
uid_V307_ct,20.403625264763832
uid_V320_ct,0.0
outsider15,0.0
