Training on fold 1
[10]	training's auc: 0.963341	valid_1's auc: 0.888181
[20]	training's auc: 0.968039	valid_1's auc: 0.897231
[30]	training's auc: 0.970602	valid_1's auc: 0.90169
[40]	training's auc: 0.972891	valid_1's auc: 0.904154
[50]	training's auc: 0.974573	valid_1's auc: 0.905904
[60]	training's auc: 0.976527	valid_1's auc: 0.907255
[70]	training's auc: 0.978064	valid_1's auc: 0.907581
[80]	training's auc: 0.979344	valid_1's auc: 0.908929
[90]	training's auc: 0.980592	valid_1's auc: 0.909576
[100]	training's auc: 0.981438	valid_1's auc: 0.910501
[110]	training's auc: 0.982524	valid_1's auc: 0.911489
[120]	training's auc: 0.983532	valid_1's auc: 0.911845
[130]	training's auc: 0.984645	valid_1's auc: 0.912525
[140]	training's auc: 0.985757	valid_1's auc: 0.913257
[150]	training's auc: 0.986675	valid_1's auc: 0.914161
[160]	training's auc: 0.987714	valid_1's auc: 0.914689
[170]	training's auc: 0.988613	valid_1's auc: 0.915124
[180]	training's auc: 0.989483	valid_1's auc: 0.91532
[190]	training's auc: 0.990236	valid_1's auc: 0.915704
[200]	training's auc: 0.991042	valid_1's auc: 0.916291
[210]	training's auc: 0.991785	valid_1's auc: 0.916723
[220]	training's auc: 0.99243	valid_1's auc: 0.917134
[230]	training's auc: 0.993047	valid_1's auc: 0.917461
[240]	training's auc: 0.99364	valid_1's auc: 0.917894
[250]	training's auc: 0.994248	valid_1's auc: 0.91842
[260]	training's auc: 0.994743	valid_1's auc: 0.918665
[270]	training's auc: 0.995203	valid_1's auc: 0.91925
[280]	training's auc: 0.995605	valid_1's auc: 0.919723
[290]	training's auc: 0.996053	valid_1's auc: 0.919981
[300]	training's auc: 0.996393	valid_1's auc: 0.920394
[310]	training's auc: 0.996738	valid_1's auc: 0.920464
[320]	training's auc: 0.997049	valid_1's auc: 0.920705
[330]	training's auc: 0.997338	valid_1's auc: 0.920927
[340]	training's auc: 0.997608	valid_1's auc: 0.92116
[350]	training's auc: 0.997847	valid_1's auc: 0.921301
[360]	training's auc: 0.99806	valid_1's auc: 0.921548
[370]	training's auc: 0.998266	valid_1's auc: 0.92171
[380]	training's auc: 0.99844	valid_1's auc: 0.921894
[390]	training's auc: 0.998611	valid_1's auc: 0.922086
[400]	training's auc: 0.99876	valid_1's auc: 0.922072
[410]	training's auc: 0.998895	valid_1's auc: 0.922256
[420]	training's auc: 0.99901	valid_1's auc: 0.922347
[430]	training's auc: 0.999124	valid_1's auc: 0.922655
[440]	training's auc: 0.999226	valid_1's auc: 0.922712
[450]	training's auc: 0.99931	valid_1's auc: 0.922793
[460]	training's auc: 0.999387	valid_1's auc: 0.922858
[470]	training's auc: 0.99946	valid_1's auc: 0.923106
[480]	training's auc: 0.999522	valid_1's auc: 0.923167
[490]	training's auc: 0.999579	valid_1's auc: 0.923242
[500]	training's auc: 0.999627	valid_1's auc: 0.923325
[510]	training's auc: 0.99967	valid_1's auc: 0.923411
[520]	training's auc: 0.999709	valid_1's auc: 0.92338
[530]	training's auc: 0.999745	valid_1's auc: 0.923423
[540]	training's auc: 0.999777	valid_1's auc: 0.92361
[550]	training's auc: 0.999805	valid_1's auc: 0.923664
[560]	training's auc: 0.99983	valid_1's auc: 0.923866
[570]	training's auc: 0.999851	valid_1's auc: 0.923938
[580]	training's auc: 0.99987	valid_1's auc: 0.924088
[590]	training's auc: 0.999887	valid_1's auc: 0.924155
[600]	training's auc: 0.999901	valid_1's auc: 0.924267
[610]	training's auc: 0.999914	valid_1's auc: 0.924284
[620]	training's auc: 0.999926	valid_1's auc: 0.924192
[630]	training's auc: 0.999936	valid_1's auc: 0.924315
[640]	training's auc: 0.999945	valid_1's auc: 0.924317
[650]	training's auc: 0.999953	valid_1's auc: 0.924319
[660]	training's auc: 0.999959	valid_1's auc: 0.924379
[670]	training's auc: 0.999965	valid_1's auc: 0.92432
[680]	training's auc: 0.99997	valid_1's auc: 0.924284
[690]	training's auc: 0.999975	valid_1's auc: 0.924415
[700]	training's auc: 0.999978	valid_1's auc: 0.924416
[710]	training's auc: 0.999982	valid_1's auc: 0.924476
[720]	training's auc: 0.999984	valid_1's auc: 0.924492
[730]	training's auc: 0.999987	valid_1's auc: 0.924491
[740]	training's auc: 0.999989	valid_1's auc: 0.92449
[750]	training's auc: 0.99999	valid_1's auc: 0.924499
[760]	training's auc: 0.999992	valid_1's auc: 0.924388
[770]	training's auc: 0.999993	valid_1's auc: 0.924376
[780]	training's auc: 0.999994	valid_1's auc: 0.924398
[790]	training's auc: 0.999995	valid_1's auc: 0.924355
[800]	training's auc: 0.999996	valid_1's auc: 0.924366
[810]	training's auc: 0.999997	valid_1's auc: 0.924328
[820]	training's auc: 0.999997	valid_1's auc: 0.924389
[830]	training's auc: 0.999998	valid_1's auc: 0.924429
[840]	training's auc: 0.999998	valid_1's auc: 0.924495
[850]	training's auc: 0.999999	valid_1's auc: 0.924589
[860]	training's auc: 0.999999	valid_1's auc: 0.924625
[870]	training's auc: 0.999999	valid_1's auc: 0.924639
[880]	training's auc: 0.999999	valid_1's auc: 0.924691
[890]	training's auc: 0.999999	valid_1's auc: 0.924582
[900]	training's auc: 0.999999	valid_1's auc: 0.924558
[910]	training's auc: 1	valid_1's auc: 0.924534
[920]	training's auc: 1	valid_1's auc: 0.92456
[930]	training's auc: 1	valid_1's auc: 0.924622
[940]	training's auc: 1	valid_1's auc: 0.924644
[950]	training's auc: 1	valid_1's auc: 0.924576
[960]	training's auc: 1	valid_1's auc: 0.924574
[970]	training's auc: 1	valid_1's auc: 0.924514
[980]	training's auc: 1	valid_1's auc: 0.924432
[990]	training's auc: 1	valid_1's auc: 0.924502
[1000]	training's auc: 1	valid_1's auc: 0.924582
[1010]	training's auc: 1	valid_1's auc: 0.924528
[1020]	training's auc: 1	valid_1's auc: 0.924514
[1030]	training's auc: 1	valid_1's auc: 0.924562
[1040]	training's auc: 1	valid_1's auc: 0.924551
[1050]	training's auc: 1	valid_1's auc: 0.924564
[1060]	training's auc: 1	valid_1's auc: 0.924561
[1070]	training's auc: 1	valid_1's auc: 0.924542
[1080]	training's auc: 1	valid_1's auc: 0.924508
[1090]	training's auc: 1	valid_1's auc: 0.924516
[1100]	training's auc: 1	valid_1's auc: 0.924467
[1110]	training's auc: 1	valid_1's auc: 0.924397
[1120]	training's auc: 1	valid_1's auc: 0.924354
[1130]	training's auc: 1	valid_1's auc: 0.92434
[1140]	training's auc: 1	valid_1's auc: 0.924336
[1150]	training's auc: 1	valid_1's auc: 0.924389
[1160]	training's auc: 1	valid_1's auc: 0.924365
[1170]	training's auc: 1	valid_1's auc: 0.924375
[1180]	training's auc: 1	valid_1's auc: 0.924325
[1190]	training's auc: 1	valid_1's auc: 0.924342
[1200]	training's auc: 1	valid_1's auc: 0.924378
[1210]	training's auc: 1	valid_1's auc: 0.924331
[1220]	training's auc: 1	valid_1's auc: 0.924339
[1230]	training's auc: 1	valid_1's auc: 0.924338
[1240]	training's auc: 1	valid_1's auc: 0.924332
[1250]	training's auc: 1	valid_1's auc: 0.924352
[1260]	training's auc: 1	valid_1's auc: 0.924363
[1270]	training's auc: 1	valid_1's auc: 0.924339
[1280]	training's auc: 1	valid_1's auc: 0.924385
[1290]	training's auc: 1	valid_1's auc: 0.924365
[1300]	training's auc: 1	valid_1's auc: 0.92437
[1310]	training's auc: 1	valid_1's auc: 0.92433
[1320]	training's auc: 1	valid_1's auc: 0.92431
[1330]	training's auc: 1	valid_1's auc: 0.924299
[1340]	training's auc: 1	valid_1's auc: 0.924249
[1350]	training's auc: 1	valid_1's auc: 0.924264
[1360]	training's auc: 1	valid_1's auc: 0.92421
[1370]	training's auc: 1	valid_1's auc: 0.924182
[1380]	training's auc: 1	valid_1's auc: 0.92422
Fold 1 finished
Training on fold 2
[10]	training's auc: 0.968076	valid_1's auc: 0.91061
[20]	training's auc: 0.972161	valid_1's auc: 0.917262
