fold	iteration	train_auc	eval_auc
001	000010	0.881165	0.855008
001	000020	0.886611	0.859336
001	000030	0.891419	0.861974
001	000040	0.894682	0.864926
001	000050	0.901495	0.868806
001	000060	0.908621	0.872437
001	000070	0.912357	0.874623
001	000080	0.916285	0.876518
001	000090	0.920445	0.879025
001	000100	0.925890	0.881580
001	000110	0.930330	0.884327
001	000120	0.935618	0.886522
001	000130	0.938899	0.888162
001	000140	0.943130	0.890977
001	000150	0.947233	0.893179
001	000160	0.951483	0.895470
001	000170	0.954590	0.897564
001	000180	0.958452	0.899661
001	000190	0.962487	0.901906
001	000200	0.965821	0.903749
001	000210	0.969256	0.906329
001	000220	0.972551	0.907996
001	000230	0.975109	0.909622
001	000240	0.977421	0.911436
001	000250	0.979588	0.913122
001	000260	0.981540	0.914810
001	000270	0.983319	0.916094
001	000280	0.984594	0.917396
001	000290	0.986062	0.918666
001	000300	0.987459	0.919878
001	000310	0.988785	0.921043
001	000320	0.989790	0.921840
001	000330	0.990588	0.922403
001	000340	0.991329	0.923242
001	000350	0.991912	0.923658
001	000360	0.992610	0.924441
001	000370	0.993201	0.925064
001	000380	0.993626	0.925336
001	000390	0.993929	0.925663
001	000400	0.994406	0.926175
001	000410	0.994754	0.926406
001	000420	0.995103	0.926587
001	000430	0.995430	0.926820
001	000440	0.995664	0.927088
001	000450	0.995820	0.927051
001	000460	0.996062	0.927256
001	000470	0.996277	0.927534
001	000480	0.996473	0.927735
001	000490	0.996639	0.927677
001	000500	0.996819	0.927698
001	000510	0.996974	0.927859
001	000520	0.997116	0.927925
001	000530	0.997231	0.928031
001	000540	0.997362	0.928182
001	000550	0.997469	0.928253
001	000560	0.997607	0.928107
001	000570	0.997676	0.928148
001	000580	0.997783	0.928078
001	000590	0.997896	0.928037
001	000600	0.997971	0.928076
001	000610	0.998017	0.928021
001	000620	0.998077	0.927921
001	000630	0.998159	0.927864
001	000640	0.998223	0.927936
001	000650	0.998267	0.927934
