fold	iteration	train_auc	val_auc
001	000001	0.500000	0.500000
001	000002	0.500000	0.500000
001	000003	0.500000	0.500000
001	000004	0.500000	0.500000
001	000005	0.500000	0.500000
001	000006	0.500000	0.500000
001	000007	0.500000	0.500000
001	000008	0.500000	0.500000
001	000009	0.500000	0.500000
001	000010	0.500000	0.500000
001	000011	0.500000	0.500000
001	000012	0.500000	0.500000
001	000013	0.500000	0.500000
001	000014	0.500000	0.500000
001	000015	0.500000	0.500000
001	000016	0.500000	0.500000
001	000017	0.500000	0.500000
001	000018	0.500000	0.500000
001	000019	0.500000	0.500000
001	000020	0.500000	0.500000
001	000021	0.500000	0.500000
001	000022	0.500000	0.500000
001	000023	0.500000	0.500000
001	000024	0.500000	0.500000
001	000025	0.500000	0.500000
001	000026	0.500000	0.500000
001	000027	0.500000	0.500000
001	000028	0.500000	0.500000
001	000029	0.500000	0.500000
001	000030	0.500000	0.500000
001	000031	0.500000	0.500000
001	000032	0.500000	0.500000
001	000033	0.500000	0.500000
001	000034	0.500000	0.500000
001	000035	0.500000	0.500000
001	000036	0.500000	0.500000
001	000037	0.500000	0.500000
001	000038	0.500000	0.500000
001	000039	0.500000	0.500000
001	000040	0.500000	0.500000
001	000041	0.500000	0.500000
001	000042	0.500000	0.500000
001	000043	0.500000	0.500000
001	000044	0.500000	0.500000
001	000045	0.500000	0.500000
001	000046	0.500000	0.500000
001	000047	0.500000	0.500000
001	000048	0.500000	0.500000
001	000049	0.500000	0.500000
001	000050	0.500000	0.500000
001	000051	0.500000	0.500000
002	000001	0.500000	0.500000
002	000002	0.500000	0.500000
002	000003	0.500000	0.500000
002	000004	0.500000	0.500000
002	000005	0.500000	0.500000
002	000006	0.500000	0.500000
002	000007	0.500000	0.500000
002	000008	0.500000	0.500000
002	000009	0.500000	0.500000
002	000010	0.500000	0.500000
002	000011	0.500000	0.500000
002	000012	0.500000	0.500000
002	000013	0.500000	0.500000
002	000014	0.500000	0.500000
002	000015	0.500000	0.500000
002	000016	0.500000	0.500000
002	000017	0.500000	0.500000
002	000018	0.500000	0.500000
002	000019	0.500000	0.500000
002	000020	0.500000	0.500000
002	000021	0.500000	0.500000
002	000022	0.500000	0.500000
002	000023	0.500000	0.500000
002	000024	0.500000	0.500000
002	000025	0.500000	0.500000
002	000026	0.500000	0.500000
002	000027	0.500000	0.500000
002	000028	0.500000	0.500000
002	000029	0.500000	0.500000
002	000030	0.500000	0.500000
002	000031	0.500000	0.500000
002	000032	0.500000	0.500000
002	000033	0.500000	0.500000
002	000034	0.500000	0.500000
002	000035	0.500000	0.500000
002	000036	0.500000	0.500000
002	000037	0.500000	0.500000
002	000038	0.500000	0.500000
002	000039	0.500000	0.500000
002	000040	0.500000	0.500000
002	000041	0.500000	0.500000
002	000042	0.500000	0.500000
002	000043	0.500000	0.500000
002	000044	0.500000	0.500000
002	000045	0.500000	0.500000
002	000046	0.500000	0.500000
002	000047	0.500000	0.500000
002	000048	0.500000	0.500000
002	000049	0.500000	0.500000
002	000050	0.500000	0.500000
002	000051	0.500000	0.500000
003	000001	0.768440	0.533333
003	000002	0.768440	0.533333
003	000003	0.859574	0.598925
003	000004	0.868085	0.598925
003	000005	0.868085	0.598925
003	000006	0.868085	0.598925
003	000007	0.868085	0.598925
003	000008	0.868085	0.598925
003	000009	0.868085	0.598925
003	000010	0.867139	0.630108
003	000011	0.867139	0.630108
003	000012	0.868085	0.630108
003	000013	0.867139	0.621505
003	000014	0.867139	0.621505
003	000015	0.867139	0.621505
003	000016	0.867139	0.621505
003	000017	0.867139	0.625806
003	000018	0.867139	0.634409
003	000019	0.867139	0.634409
003	000020	0.867139	0.634409
003	000021	0.871868	0.643011
003	000022	0.867139	0.634409
003	000023	0.867139	0.625806
003	000024	0.867139	0.634409
003	000025	0.867139	0.625806
003	000026	0.876005	0.613978
003	000027	0.876478	0.622581
003	000028	0.876005	0.613978
003	000029	0.876005	0.626882
003	000030	0.876005	0.613978
